uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,sortDate,sampleID,sampleCode,subsampleID,subsampleCode,proportionIdentified,sampleCondition,remarks,sortedBy,laboratoryName
"7c6d82e7-b4d0-4ebe-a65c-fd37a9e80e2b","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-10-10T21:51Z","2023-10-11T15:28Z","2023-11-28","ABBY_034.20231011.0828","B00000042218","ABBY_034.20231011.0828.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"802b40c7-09e1-43c1-b15a-a318ae8503d9","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-10-10T22:02Z","2023-10-11T15:42Z","2023-11-28","ABBY_032.20231011.0842","B00000042219","ABBY_032.20231011.0842.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"6c76b6e7-eae6-4b8b-9f14-251fa78e5568","ABBY_039.mosquitoPoint.mos","D16","ABBY","ABBY_039","2023-10-10T22:31Z","2023-10-11T16:13Z","2023-11-28","ABBY_039.20231011.0913","B00000042217","ABBY_039.20231011.0913.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"2b5967e4-201b-46fc-89b9-c2dd6157361f","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","2023-10-10T23:15Z","2023-10-11T16:56Z","2023-11-28","ABBY_037.20231011.0956","B00000042220","ABBY_037.20231011.0956.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"b66d635f-cb5d-4131-9fd0-369f1e0eb900","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-10-11T15:15Z","2023-10-11T21:59Z","2023-11-28","ABBY_038.20231011.1459","B00000042070","ABBY_038.20231011.1459.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"712c28a8-6e49-45aa-823a-456bf50850d4","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-10-11T15:28Z","2023-10-11T22:08Z","2023-11-28","ABBY_034.20231011.1508","B00000042213","ABBY_034.20231011.1508.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"31f0c60d-eaa8-4985-915b-dd6b7c60c244","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-10-11T15:42Z","2023-10-11T22:23Z","2023-11-28","ABBY_032.20231011.1523","B00000042216","ABBY_032.20231011.1523.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"944f56d4-a6a8-4d18-8304-4c724c39b247","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","2023-10-11T15:51Z","2023-10-11T22:30Z","2023-11-28","ABBY_040.20231011.1530","B00000042051","ABBY_040.20231011.1530.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"0e012031-ad89-4276-bc79-97e64f2b9519","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","2023-10-11T16:56Z","2023-10-11T23:33Z","2023-11-28","ABBY_037.20231011.1633","B00000042063","ABBY_037.20231011.1633.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"7ea3cd78-fe62-4aa9-8a33-0dd04d86d759","ABBY_036.mosquitoPoint.mos","D16","ABBY","ABBY_036","2023-10-11T17:15Z","2023-10-11T23:44Z","2023-11-28","ABBY_036.20231011.1644","B00000042067","ABBY_036.20231011.1644.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
