uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"d60a7d25-ce38-4387-a08c-d78f6aa3b375","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-08-15T23:46Z","2023-08-16T13:40Z","2023-10-25","ABBY_038.20230816.0640.S.01",,"N",0,,,,,,,,,,,,,,,,,,"U","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"bfd41b8d-6bf3-442f-8a1e-21ebae0ce02b","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-08-16T00:01Z","2023-08-16T13:54Z","2023-10-25","ABBY_034.20230816.0654.S.01",,"N",0,,,,,,,,,,,,,,,,,,"U","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"179d9aa8-dd1c-4ff8-83ac-7a89ce51c087","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-08-16T00:10Z","2023-08-16T14:06Z","2023-10-25","ABBY_032.20230816.0706.S.01",,"Y",2,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","tarsalis",,"Culex tarsalis","Coquillett, 1896","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"52304631-5a90-48f9-880d-1ac750eaca34","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","2023-08-16T00:18Z","2023-08-16T14:15Z","2023-10-25","ABBY_040.20230816.0715.S.01",,"N",0,,,,,,,,,,,,,,,,,,"U","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"a8d4fe56-1020-4144-91f4-6b79727317a2","ABBY_033.mosquitoPoint.mos","D16","ABBY","ABBY_033","2023-08-16T00:23Z","2023-08-16T14:21Z","2023-10-25","ABBY_033.20230816.0721.S.01",,"N",0,,,,,,,,,,,,,,,,,,"U","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"64745953-2832-47f0-9fcc-03e5a3b7c88d","ABBY_039.mosquitoPoint.mos","D16","ABBY","ABBY_039","2023-08-16T00:43Z","2023-08-16T14:38Z","2023-10-25","ABBY_039.20230816.0738.S.01",,"N",0,,,,,,,,,,,,,,,,,,"U","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"1d7084b4-9111-483d-b2f5-d7fc5b7a067b","ABBY_031.mosquitoPoint.mos","D16","ABBY","ABBY_031","2023-08-16T01:06Z","2023-08-16T15:05Z","2023-10-25","ABBY_031.20230816.0805.S.01",,"N",0,,,,,,,,,,,,,,,,,,"U","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"cf897f70-8147-4d59-8cfa-d4848fc00aa8","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","2023-08-16T01:28Z","2023-08-16T15:21Z","2023-10-25","ABBY_037.20230816.0821.S.01",,"N",0,,,,,,,,,,,,,,,,,,"U","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"abcc3393-198b-44fd-8881-e78d4c4601bd","ABBY_036.mosquitoPoint.mos","D16","ABBY","ABBY_036","2023-08-16T01:38Z","2023-08-16T15:32Z","2023-10-25","ABBY_036.20230816.0832.S.01",,"N",0,,,,,,,,,,,,,,,,,,"U","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"037bd927-5a2d-44b7-bb86-73a40a77cef5","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-08-16T13:40Z","2023-08-17T00:01Z","2023-10-25","ABBY_038.20230816.1701.S.01",,"N",0,,,,,,,,,,,,,,,,,,"U","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
