uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,sortDate,sampleID,sampleCode,subsampleID,subsampleCode,proportionIdentified,sampleCondition,remarks,sortedBy,laboratoryName
"42181413-5b43-47cf-b63a-9b7d8941de3c","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-08-15T23:46Z","2023-08-16T13:40Z","2023-10-25","ABBY_038.20230816.0640","B00000042030","ABBY_038.20230816.0640.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"f9a27326-f9f6-453b-acf9-505c3b98f992","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-08-16T00:01Z","2023-08-16T13:54Z","2023-10-25","ABBY_034.20230816.0654","B00000042023","ABBY_034.20230816.0654.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"b129f8e1-35eb-4c29-94e1-c063f7ba97ee","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-08-16T00:10Z","2023-08-16T14:06Z","2023-10-25","ABBY_032.20230816.0706","B00000042037","ABBY_032.20230816.0706.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"299b47f7-a701-4699-88be-4c855daddc52","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","2023-08-16T00:18Z","2023-08-16T14:15Z","2023-10-25","ABBY_040.20230816.0715","B00000042029","ABBY_040.20230816.0715.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"0edf049e-ece0-4390-85c2-8d0008721ace","ABBY_033.mosquitoPoint.mos","D16","ABBY","ABBY_033","2023-08-16T00:23Z","2023-08-16T14:21Z","2023-10-25","ABBY_033.20230816.0721","B00000042033","ABBY_033.20230816.0721.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"684ee818-219d-436f-8fa6-dbecf3c3aa5e","ABBY_039.mosquitoPoint.mos","D16","ABBY","ABBY_039","2023-08-16T00:43Z","2023-08-16T14:38Z","2023-10-25","ABBY_039.20230816.0738","B00000042026","ABBY_039.20230816.0738.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"7121446b-d6aa-4958-a2ce-fb7f09f54945","ABBY_031.mosquitoPoint.mos","D16","ABBY","ABBY_031","2023-08-16T01:06Z","2023-08-16T15:05Z","2023-10-25","ABBY_031.20230816.0805","B00000042031","ABBY_031.20230816.0805.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"afe11b04-290e-4789-93ab-d6780ad6c7d6","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","2023-08-16T01:28Z","2023-08-16T15:21Z","2023-10-25","ABBY_037.20230816.0821","B00000042024","ABBY_037.20230816.0821.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"7877caf7-fb38-44c0-9dba-4400de697a4f","ABBY_036.mosquitoPoint.mos","D16","ABBY","ABBY_036","2023-08-16T01:38Z","2023-08-16T15:32Z","2023-10-25","ABBY_036.20230816.0832","B00000042027","ABBY_036.20230816.0832.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"8eae1eec-ba4e-4519-9fe6-37b4aea97ceb","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-08-16T13:40Z","2023-08-17T00:01Z","2023-10-25","ABBY_038.20230816.1701","B00000042035","ABBY_038.20230816.1701.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"3f7ec53d-83fa-43b3-8c5d-b2c9dfc543d4","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-08-16T13:54Z","2023-08-17T00:12Z","2023-10-25","ABBY_034.20230816.1712","B00000042036","ABBY_034.20230816.1712.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"71140e48-d24b-4710-9da7-da873163060f","ABBY_033.mosquitoPoint.mos","D16","ABBY","ABBY_033","2023-08-16T14:21Z","2023-08-17T00:31Z","2023-10-25","ABBY_033.20230816.1731","B00000042025","ABBY_033.20230816.1731.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"9ac76433-924c-48b8-acc6-b8a0c80648c3","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","2023-08-16T15:21Z","2023-08-17T01:22Z","2023-10-25","ABBY_037.20230816.1822","B00000042032","ABBY_037.20230816.1822.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
"4f04d321-39ad-484f-8bab-c9c3736a7761","ABBY_036.mosquitoPoint.mos","D16","ABBY","ABBY_036","2023-08-16T15:42Z","2023-08-17T01:32Z","2023-10-25","ABBY_036.20230816.1832","B00000042038","ABBY_036.20230816.1832.S.01",,1.000,"No known compromise",,"1xQGeHwaLDmDfoWbfLrTcw==","Vector Disease Control International"
