uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,subsampleID,subsampleCode,taxonID,scientificName,sex,testingID,testingIDCode,archiveID,archiveIDCode,individualIDList
"6f46a563-2651-431d-b1c0-2ef126087e66","UNDE_068.mosquitoPoint.mos","D05","UNDE","UNDE_068","2023-05-09T23:37Z","2023-05-10T11:36Z","UNDE_068.20230510.0636.S.01",,"ANOPUN","Anopheles punctipennis","F",,,"UNDE.2023.18.ANOPUN.F.A",,
"d4ffcdf3-11ca-4e27-a087-d4bbf3d7cc22","UNDE_068.mosquitoPoint.mos","D05","UNDE","UNDE_068","2023-05-09T23:37Z","2023-05-10T11:36Z","UNDE_068.20230510.0636.S.01",,"CULMIN","Culiseta minnesotae","F",,,"UNDE.2023.18.CULMIN.F.A",,"MOS.D05.001829|MOS.D05.001830"
"c7254eff-e0dd-4082-92d7-b8bd86911e4b","UNDE_074.mosquitoPoint.mos","D05","UNDE","UNDE_074","2023-05-09T23:45Z","2023-05-10T11:48Z","UNDE_074.20230510.0648.S.01",,"ANOPUN","Anopheles punctipennis","F",,,"UNDE.2023.18.ANOPUN.F.A",,
"e8a0500d-7609-4a9c-9050-5daf9cd7b89a","UNDE_074.mosquitoPoint.mos","D05","UNDE","UNDE_074","2023-05-09T23:45Z","2023-05-10T11:48Z","UNDE_074.20230510.0648.S.01",,"CULMIN","Culiseta minnesotae","F",,,"UNDE.2023.18.CULMIN.F.A",,"MOS.D05.001831"
"b77d8d29-ffd3-48e3-a1ab-915392523a3e","UNDE_076.mosquitoPoint.mos","D05","UNDE","UNDE_076","2023-05-09T23:50Z","2023-05-10T11:54Z","UNDE_076.20230510.0654.S.01",,"CULMIN","Culiseta minnesotae","F",,,"UNDE.2023.18.CULMIN.F.A",,
"a038bbf5-4306-43e0-80c7-aaf3dcb3aa15","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-05-16T22:41Z","2023-05-17T10:53Z","UNDE_071.20230517.0553.S.01",,"CULMIN","Culiseta minnesotae","F",,,"UNDE.2023.19.CULMIN.F.A",,
"60143c04-3b7f-4c17-bbf5-01a10d29ae75","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-05-16T22:59Z","2023-05-17T11:00Z","UNDE_066.20230517.0600.S.01",,"CULMIN","Culiseta minnesotae","F",,,"UNDE.2023.19.CULMIN.F.A",,"MOS.D05.001832|MOS.D05.001833"
"41b0ced5-94b6-4a29-855b-5c5cb261df40","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-05-16T22:59Z","2023-05-17T11:00Z","UNDE_066.20230517.0600.S.01",,"AEDPUN","Aedes punctor","F",,,"UNDE.2023.19.AEDPUN.F.A",,
"b5fda68f-e2ce-44e7-9643-775cf97272f2","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-05-16T23:08Z","2023-05-17T11:06Z","UNDE_075.20230517.0606.S.01",,"CULMIN","Culiseta minnesotae","F",,,"UNDE.2023.19.CULMIN.F.A",,"MOS.D05.001835|MOS.D05.001834|MOS.D05.001836"
"f657368d-3c78-4bff-ab5e-f1200f8541bd","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-05-16T23:25Z","2023-05-17T11:13Z","UNDE_073.20230517.0613.S.01",,"CULMIN","Culiseta minnesotae","F",,,"UNDE.2023.19.CULMIN.F.A",,
"35f7dd59-f873-4b42-9b6e-4f0311fede0e","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-05-16T23:25Z","2023-05-17T11:13Z","UNDE_073.20230517.0613.S.01",,"AEDCOM","Aedes communis","F",,,"UNDE.2023.19.AEDCOM.F.A",,
"60d5514a-dee4-4bea-9e33-f01040507558","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-05-16T23:36Z","2023-05-17T11:20Z","UNDE_070.20230517.0620.S.01",,"CULMIN","Culiseta minnesotae","F",,,"UNDE.2023.19.CULMIN.F.A",,
"4802252a-ddf2-4580-8461-9483cf238abf","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-05-16T23:36Z","2023-05-17T11:20Z","UNDE_070.20230517.0620.S.01",,"CULSPP3","Culex sp.","F",,,"UNDE.2023.19.CULSPP3.F.A",,
"b0d7dab9-06de-4f45-8dc9-d27da6df20d0","UNDE_067.mosquitoPoint.mos","D05","UNDE","UNDE_067","2023-05-16T23:49Z","2023-05-17T11:31Z","UNDE_067.20230517.0631.S.01",,"CULMIN","Culiseta minnesotae","F",,,"UNDE.2023.19.CULMIN.F.A",,
"81690faa-f820-4370-be42-ab1369b9d971","UNDE_068.mosquitoPoint.mos","D05","UNDE","UNDE_068","2023-05-17T00:03Z","2023-05-17T11:42Z","UNDE_068.20230517.0642.S.01",,"CULMIN","Culiseta minnesotae","F",,,"UNDE.2023.19.CULMIN.F.A",,
"f0419048-5f6d-4922-a962-2f04b4cbea06","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-05-17T11:06Z","2023-05-17T22:18Z","UNDE_075.20230517.1718.S.01",,"AEDCOM","Aedes communis","F",,,"UNDE.2023.19.AEDCOM.F.A",,
