uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,subsampleID,subsampleCode,taxonID,scientificName,sex,testingID,testingIDCode,archiveID,archiveIDCode,individualIDList
"5913bfee-2d75-426a-b42e-45bbc4744b6d","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-08-09T23:13Z","2023-08-10T12:23Z","UNDE_072.20230810.0723.S.01",,"AEDSTI1","Aedes stimulans","F",,,"UNDE.2023.32.AEDSTI1.F.A",,"MOS.D05.001730"
"33eb8678-00ef-4ef4-ad5e-4aecf482cfa8","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-08-09T23:13Z","2023-08-10T12:23Z","UNDE_072.20230810.0723.S.01",,"ANOPUN","Anopheles punctipennis","F",,,"UNDE.2023.32.ANOPUN.F.A",,
"e4ae3675-7310-4442-8f31-fc3a715f8e7b","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-08-09T23:13Z","2023-08-10T12:23Z","UNDE_072.20230810.0723.S.01",,"AEDCAN3","Aedes canadensis canadensis","F",,,"UNDE.2023.32.AEDCAN3.F.A",,
"f49b8056-9a86-427a-a77b-2575ddd7326d","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-08-09T23:13Z","2023-08-10T12:23Z","UNDE_072.20230810.0723.S.01",,"AEDPUN","Aedes punctor","F",,,"UNDE.2023.32.AEDPUN.F.A",,
"41876169-8c20-4c38-9ec5-bba89a6de4d3","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-08-09T23:13Z","2023-08-10T12:23Z","UNDE_072.20230810.0723.S.01",,"AEDCIN","Aedes cinereus","F",,,"UNDE.2023.32.AEDCIN.F.A",,
"a61c7936-6849-4c55-b9cb-c520c9ba1a7f","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-08-09T23:13Z","2023-08-10T12:23Z","UNDE_072.20230810.0723.S.01",,"AEDDIA","Aedes diantaeus","F",,,"UNDE.2023.32.AEDDIA.F.A",,
"ca8b8770-5a4e-4cdc-a139-a26feb85dbbf","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-08-09T23:13Z","2023-08-10T12:23Z","UNDE_072.20230810.0723.S.01",,"CULMEL","Culiseta melanura","F",,,"UNDE.2023.32.CULMEL.F.A",,
"602abf40-93a8-4c87-b278-67a827894c3f","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-08-09T23:13Z","2023-08-10T12:23Z","UNDE_072.20230810.0723.S.01",,"COQPER","Coquillettidia perturbans","M",,,"UNDE.2023.32.COQPER.M.A",,
"f45d0404-ac22-463e-b334-acfb3b70497c","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-08-09T23:13Z","2023-08-10T12:23Z","UNDE_072.20230810.0723.S.01",,"AEDCOM","Aedes communis","F",,,"UNDE.2023.32.AEDCOM.F.A",,
"6806d159-11aa-475f-9f15-9448924f018f","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-08-09T23:13Z","2023-08-10T12:23Z","UNDE_072.20230810.0723.S.01",,"AEDEXC","Aedes excrucians","F",,,"UNDE.2023.32.AEDEXC.F.A",,
