uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,subsampleID,subsampleCode,taxonID,scientificName,sex,testingID,testingIDCode,archiveID,archiveIDCode,individualIDList
"0cebade9-c437-45f3-a033-3ce23fc5839b","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-07-12T22:31Z","2023-07-13T12:03Z","UNDE_071.20230713.0703.S.01",,"COQPER","Coquillettidia perturbans","F",,,"UNDE.2023.28.COQPER.F.A",,
"37aa7b2c-88ca-4eb4-901b-a82822e89d4b","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-07-12T22:31Z","2023-07-13T12:03Z","UNDE_071.20230713.0703.S.01",,"AEDCIN","Aedes cinereus","F",,,"UNDE.2023.28.AEDCIN.F.A",,
"733567de-2154-4559-82f5-5b53d710753d","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-07-12T22:31Z","2023-07-13T12:03Z","UNDE_071.20230713.0703.S.01",,"COQPER","Coquillettidia perturbans","M",,,"UNDE.2023.28.COQPER.M.A",,"MOS.D05.001796|MOS.D05.001794|MOS.D05.001795"
"cc9440b8-654c-4b85-8054-02beae28a180","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"AEDEXC","Aedes excrucians","F",,,"UNDE.2023.28.AEDEXC.F.A",,
"6c43ca01-f7f6-4ef3-bb4e-5a66f7964235","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"COQPER","Coquillettidia perturbans","M",,,"UNDE.2023.28.COQPER.M.A",,
"e17a781f-3b73-4210-8a17-1927e2c6edea","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"COQPER","Coquillettidia perturbans","F",,,"UNDE.2023.28.COQPER.F.A",,
"43fa5340-b6e8-4f0e-a29d-a0e8cc91293d","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"AEDSPP","Aedes sp.","F",,,"UNDE.2023.28.AEDSPP.F.A",,
"90ab2d7f-98f9-4310-b85d-b49cd88ece05","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"CULMEL","Culiseta melanura","F",,,"UNDE.2023.28.CULMEL.F.A",,
"21900964-ac2f-4f08-988e-fa24fb7029f0","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"CULRES","Culex restuans","F",,,"UNDE.2023.28.CULRES.F.A",,
"f6bc7783-0897-44fc-a4f6-e6f77948ea1c","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"AEDDIA","Aedes diantaeus","F",,,"UNDE.2023.28.AEDDIA.F.A",,
"65c126d4-da26-4e99-80f7-a807bd393e58","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"AEDCOM","Aedes communis","F",,,"UNDE.2023.28.AEDCOM.F.A",,
"56032a66-7df8-4979-950a-be0630592fb0","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"AEDCIN","Aedes cinereus","F",,,"UNDE.2023.28.AEDCIN.F.A",,
"2ba62881-4da1-4658-9e15-b2d796f84af7","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"CULMOR","Culiseta morsitans","F",,,"UNDE.2023.28.CULMOR.F.A",,
"4b3bda3d-36ab-4fb7-a174-66f2303a563f","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"AEDPUN","Aedes punctor","F",,,"UNDE.2023.28.AEDPUN.F.A",,"MOS.D05.001722|MOS.D05.001723"
"9c414381-3d81-4cf0-acc2-bb97d82ec17a","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-07-12T22:37Z","2023-07-13T12:14Z","UNDE_066.20230713.0714.S.01",,"AEDCAN3","Aedes canadensis canadensis","F",,,"UNDE.2023.28.AEDCAN3.F.A",,
"a2791191-3a16-4861-a816-c7549592a115","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-07-12T22:48Z","2023-07-13T12:24Z","UNDE_075.20230713.0724.S.01",,"AEDEXC","Aedes excrucians","F",,,"UNDE.2023.28.AEDEXC.F.A",,
"3d0902fc-bed7-40b4-879e-80bd5ffa23b1","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-07-12T22:48Z","2023-07-13T12:24Z","UNDE_075.20230713.0724.S.01",,"COQPER","Coquillettidia perturbans","F",,,"UNDE.2023.28.COQPER.F.A",,
"dee984c9-01ec-40aa-9fad-e69a0f9f99f3","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-07-12T22:48Z","2023-07-13T12:24Z","UNDE_075.20230713.0724.S.01",,"AEDCOM","Aedes communis","F",,,"UNDE.2023.28.AEDCOM.F.A",,
"bdf24b15-9187-456b-9d52-f414707ca73d","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-07-12T22:48Z","2023-07-13T12:24Z","UNDE_075.20230713.0724.S.01",,"AEDDIA","Aedes diantaeus","F",,,"UNDE.2023.28.AEDDIA.F.A",,
"1fe918b1-b41d-4bfd-a310-aeb8a9e5b91a","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-07-12T22:48Z","2023-07-13T12:24Z","UNDE_075.20230713.0724.S.01",,"AEDSPP","Aedes sp.","F",,,"UNDE.2023.28.AEDSPP.F.A",,
"7d3544fe-295f-48a2-ae50-9cef59b068fb","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-07-12T22:48Z","2023-07-13T12:24Z","UNDE_075.20230713.0724.S.01",,"AEDCAN3","Aedes canadensis canadensis","F",,,"UNDE.2023.28.AEDCAN3.F.A",,
"60c7b342-7964-4883-b992-53aa3a3fd952","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-07-12T22:48Z","2023-07-13T12:24Z","UNDE_075.20230713.0724.S.01",,"AEDCIN","Aedes cinereus","F",,,"UNDE.2023.28.AEDCIN.F.A",,
"0ba60726-c490-44b2-ba6f-f2be3fd64e60","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-07-12T22:48Z","2023-07-13T12:24Z","UNDE_075.20230713.0724.S.01",,"CULMEL","Culiseta melanura","F",,,"UNDE.2023.28.CULMEL.F.A",,
"b552511c-168d-4d7e-9eb6-b97f00c9cbcb","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-07-12T22:48Z","2023-07-13T12:24Z","UNDE_075.20230713.0724.S.01",,"AEDPUN","Aedes punctor","F",,,"UNDE.2023.28.AEDPUN.F.A",,
"58b93b91-4b82-4bdd-89d9-5acbc46ee06b","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"AEDSPP","Aedes sp.","F",,,"UNDE.2023.28.AEDSPP.F.A",,
"e5328a55-ddce-46ed-a14d-0327a4130ae0","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"AEDCOM","Aedes communis","F",,,"UNDE.2023.28.AEDCOM.F.A",,
"8be9b163-a296-4e1e-aa92-c7a4d5990dca","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-07-12T22:59Z","2023-07-13T12:34Z","UNDE_073.20230713.0734.S.01",,"AEDSTI","Aedes sticticus","F",,,"UNDE.2023.28.AEDSTI.F.A",,
