uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"2e90596d-7cbc-4610-adec-397ec35219a1","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",15,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes",,"sp.",,"Aedes sp.","Meigen, 1818","genus","UNK",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"0e15f52a-47c5-4965-aea8-e444e6ee45f4","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",1,"CULMOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Culicella","morsitans",,"Culiseta morsitans","(Theobald, 1901)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"fa630347-fa0d-4df7-850b-79dca6e26b5e","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",110,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"b0bc84f4-de2a-41c4-8cb3-fc9982122ed9","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",8,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","punctor",,"Aedes punctor","(Kirby, 1837)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"fb20d3a2-5c56-4e60-a168-561a07400bce","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",26,"AEDDIA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","diantaeus",,"Aedes diantaeus","Howard, Dyar and Knab, 1913","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"313c8d09-24b1-4355-acce-5491ea2762fd","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",1,"AEDSTI","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","sticticus",,"Aedes sticticus","(Meigen, 1838)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"c9cba132-16f3-4ed1-ba65-171527101e44","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",1,"AEDCIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Aedes","cinereus",,"Aedes cinereus","Meigen, 1818","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"0b8adbf1-3001-4d86-86d8-974c3015b01f","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",21,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","communis",,"Aedes communis","(de Geer, 1776)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"de741569-4716-40cd-9cbf-ba597add23ea","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",19,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","excrucians",,"Aedes excrucians","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"3b7378bd-9375-4759-b23c-5a3761ae766a","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",2,"CULMEL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Climacura","melanura",,"Culiseta melanura","(Coquillett, 1902)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"711dd0a7-a05f-4ef1-ab95-07e1a3340ca2","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",3,"AEDCAN3","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes",,"canadensis","canadensis","Aedes canadensis canadensis","(Theobald, 1901)","subspecies","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"a34b18cf-75a0-406c-9afd-eb83132cee70","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-07-12T22:15Z","2023-07-13T11:45Z","2023-08-24","UNDE_072.20230713.0645.S.01",,"Y",1,"CULRES","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","restuans",,"Culex restuans","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"30fef880-8040-4f68-b343-bdb3326a7c86","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-07-12T22:31Z","2023-07-13T12:03Z","2023-08-24","UNDE_071.20230713.0703.S.01",,"Y",1,"AEDCAN3","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes",,"canadensis","canadensis","Aedes canadensis canadensis","(Theobald, 1901)","subspecies","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
