uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"9a50a936-9100-4d33-a3fb-9ab25ceb6641","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-05-31T22:20Z","2023-06-01T10:46Z","2023-07-06","UNDE_072.20230601.0546.S.01",,"Y",8,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes",,"sp.",,"Aedes sp.","Meigen, 1818","genus","UNK",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"59bb12ac-e1f9-4702-a91c-dca976f7a490","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-05-31T22:20Z","2023-06-01T10:46Z","2023-07-06","UNDE_072.20230601.0546.S.01",,"Y",12,"AEDPRO","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Rusticoidus","provocans",,"Aedes provocans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"33c5ddb5-7fac-4230-babf-03d3a02ccb5d","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-05-31T22:20Z","2023-06-01T10:46Z","2023-07-06","UNDE_072.20230601.0546.S.01",,"Y",2,"AEDCIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Aedes","cinereus",,"Aedes cinereus","Meigen, 1818","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"92f7ed0c-64fb-45d6-ad57-6ace75bd3d0f","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-05-31T22:20Z","2023-06-01T10:46Z","2023-07-06","UNDE_072.20230601.0546.S.01",,"Y",3,"AEDDIA","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","diantaeus",,"Aedes diantaeus","Howard, Dyar and Knab, 1913","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"f3a39f6c-7820-4d4f-a964-a5080d5eed70","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-05-31T22:20Z","2023-06-01T10:46Z","2023-07-06","UNDE_072.20230601.0546.S.01",,"Y",2,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","excrucians",,"Aedes excrucians","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"ef560504-8cf0-4dc5-8b3d-aebdc519b742","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-05-31T22:20Z","2023-06-01T10:46Z","2023-07-06","UNDE_072.20230601.0546.S.01",,"Y",1,"CULSPP3","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"sp.",,"Culex sp.","Linnaeus, 1758","genus","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"7b55c9b5-48a2-418d-ba61-a677875e9534","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-05-31T22:20Z","2023-06-01T10:46Z","2023-07-06","UNDE_072.20230601.0546.S.01",,"Y",98,"AEDCOM","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","communis",,"Aedes communis","(de Geer, 1776)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"05896927-4caa-47ed-8952-ff6cc7fc84ee","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-05-31T22:20Z","2023-06-01T10:46Z","2023-07-06","UNDE_072.20230601.0546.S.01",,"Y",83,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","punctor",,"Aedes punctor","(Kirby, 1837)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"329577d7-28f4-43c4-9f59-ddddb464b165","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-05-31T22:31Z","2023-06-01T11:00Z","2023-07-06","UNDE_071.20230601.0600.S.01",,"Y",11,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes",,"sp.",,"Aedes sp.","Meigen, 1818","genus","UNK",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"a79f141a-c5e9-4ba4-bce1-8929d1029111","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-05-31T22:31Z","2023-06-01T11:00Z","2023-07-06","UNDE_071.20230601.0600.S.01",,"Y",3,"AEDINT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","intrudens",,"Aedes intrudens","Dyar, 1919","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
