uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"ec58920f-692a-48d7-855f-4e687d038432","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-09-07T22:15Z","2023-09-08T11:40Z","2023-09-28","UNDE_072.20230908.0640.S.01",,"Y",1,"CULMOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Culicella","morsitans",,"Culiseta morsitans","(Theobald, 1901)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"b5d2e015-0b27-4c9a-a416-2505675bf065","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-09-07T22:15Z","2023-09-08T11:40Z","2023-09-28","UNDE_072.20230908.0640.S.01",,"Y",2,"AEDCIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Aedes","cinereus",,"Aedes cinereus","Meigen, 1818","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"61cadb6e-fd4e-416a-bbad-e0a6745fb529","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-09-07T22:15Z","2023-09-08T11:40Z","2023-09-28","UNDE_072.20230908.0640.S.01",,"Y",1,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes",,"sp.",,"Aedes sp.","Meigen, 1818","genus","UNK",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"5c74388c-bc28-4cc5-9d48-3dbf6f45462a","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-09-07T22:15Z","2023-09-08T11:40Z","2023-09-28","UNDE_072.20230908.0640.S.01",,"Y",25,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","excrucians",,"Aedes excrucians","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"5c6d94a6-bea6-4252-9620-cfee68083f5f","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-09-07T22:15Z","2023-09-08T11:40Z","2023-09-28","UNDE_072.20230908.0640.S.01",,"Y",1,"AEDPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","punctor",,"Aedes punctor","(Kirby, 1837)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"2bb97885-9f59-47e2-a027-0c1c44669fe1","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-09-07T22:15Z","2023-09-08T11:40Z","2023-09-28","UNDE_072.20230908.0640.S.01",,"Y",2,"AEDFIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","fitchii",,"Aedes fitchii","(Felt and Young, 1904)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"8d4aa17a-7171-4965-82b8-82b20920bc46","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-09-07T22:15Z","2023-09-08T11:40Z","2023-09-28","UNDE_072.20230908.0640.S.01",,"Y",8,"CULMEL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Climacura","melanura",,"Culiseta melanura","(Coquillett, 1902)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"2f6d8566-e289-447a-86e4-55f634119c47","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-09-07T22:31Z","2023-09-08T11:59Z","2023-09-29","UNDE_071.20230908.0659.S.01",,"Y",1,"AEDCIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Aedes","cinereus",,"Aedes cinereus","Meigen, 1818","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"2d9e1d01-1175-42dd-9bb1-91dd3d799a04","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-09-07T22:31Z","2023-09-08T11:59Z","2023-09-29","UNDE_071.20230908.0659.S.01",,"Y",17,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","excrucians",,"Aedes excrucians","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"e8a69f81-f0a5-4540-bdc1-f193ac1c26b3","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-09-07T22:31Z","2023-09-08T11:59Z","2023-09-29","UNDE_071.20230908.0659.S.01",,"Y",2,"ANOWAL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","walkeri",,"Anopheles walkeri","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
