uid,namedLocation,domainID,siteID,startCollectDate,endCollectDate,archiveID,archiveIDCode,archiveVialIDList,archiveSampleCode,archivedCount,archiveMedium,archiveFacilityID,deprecatedVialID
"422d3db5-cfbc-4543-997e-a68d5f2e1680","UNDE","D05","UNDE","2023-09-07T22:15Z","2023-09-08T12:20Z","UNDE.2023.36.CULMOR.F.A",,"UNDE.2023.36.CULMOR.F.A.01","W00000003220",9,"Frozen -80C",,
"e41bd763-91eb-4e53-8469-cc214cb51370","UNDE","D05","UNDE","2023-09-07T22:15Z","2023-09-08T22:49Z","UNDE.2023.36.AEDPUN.F.A",,"UNDE.2023.36.AEDPUN.F.A.01","W00000003218",5,"Frozen -80C",,
"87f1a8c4-0b31-435e-8586-b611f8fb286d","UNDE","D05","UNDE","2023-09-07T22:15Z","2023-09-08T23:44Z","UNDE.2023.36.AEDFIT.F.A",,"UNDE.2023.36.AEDFIT.F.A.01","W00000003222",13,"Frozen -80C",,
"a595031e-6580-4acb-81f5-5f4d1fb39f67","UNDE","D05","UNDE","2023-09-07T22:15Z","2023-09-08T23:57Z","UNDE.2023.36.CULMEL.F.A",,"UNDE.2023.36.CULMEL.F.A.01","W00000003225",48,"Frozen -80C",,
"78156a14-65da-4ae0-89c0-c45034bdd829","UNDE","D05","UNDE","2023-09-07T22:15Z","2023-09-08T23:57Z","UNDE.2023.36.AEDCIN.F.A",,"UNDE.2023.36.AEDCIN.F.A.01","W00000003227",163,"Frozen -80C",,
"714aa1a4-c501-4202-8177-6515d412b40b","UNDE","D05","UNDE","2023-09-07T22:15Z","2023-09-08T23:57Z","UNDE.2023.36.AEDSPP.F.A",,"UNDE.2023.36.AEDSPP.F.A.01","W00000003226",62,"Frozen -80C",,
"1fbcbb6b-e84c-43af-a2c6-84a68993488d","UNDE","D05","UNDE","2023-09-07T22:15Z","2023-09-08T23:57Z","UNDE.2023.36.AEDEXC.F.A",,"UNDE.2023.36.AEDEXC.F.A.01","W00000003422",250,"Frozen -80C",,
"93534893-b151-4e4f-9b28-6b591ba549f1","UNDE_071.mosquitoPoint.mos","D05","UNDE","2023-09-07T22:31Z","2023-09-08T11:59Z","UNDE.2023.36.ANOWAL.F.A",,"UNDE.2023.36.ANOWAL.F.A.01","W00000003216",1,"Frozen -80C",,
"8af2245a-6d0b-4f57-8698-beb40221828b","UNDE","D05","UNDE","2023-09-07T22:31Z","2023-09-08T23:57Z","UNDE.2023.36.COQPER.F.A",,"UNDE.2023.36.COQPER.F.A.01","W00000003223",19,"Frozen -80C",,
"b1cafc78-c662-4b8b-befa-4e22215ebb05","UNDE","D05","UNDE","2023-09-07T22:38Z","2023-09-08T23:57Z","UNDE.2023.36.AEDVEX.F.A",,"UNDE.2023.36.AEDVEX.F.A.01","W00000003224",33,"Frozen -80C",,
"a794526d-91cb-4728-af5b-9d0ccc75e37e","UNDE","D05","UNDE","2023-09-07T22:49Z","2023-09-08T23:07Z","UNDE.2023.36.AEDSTI1.F.A",,"UNDE.2023.36.AEDSTI1.F.A.01","W00000003221",10,"Frozen -80C",,
"d2d0343b-5f03-4a79-903d-37a487b3c7d6","UNDE","D05","UNDE","2023-09-07T22:49Z","2023-09-08T23:44Z","UNDE.2023.36.ANOPUN.F.A",,"UNDE.2023.36.ANOPUN.F.A.01","W00000003219",9,"Frozen -80C",,
"37ba3f16-eac9-4e86-bfb1-e1874feb9b6e","UNDE_073.mosquitoPoint.mos","D05","UNDE","2023-09-08T12:28Z","2023-09-08T23:07Z","UNDE.2023.36.AEDDIA.F.A",,"UNDE.2023.36.AEDDIA.F.A.01","W00000003217",3,"Frozen -80C",,
