uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,sortDate,sampleID,sampleCode,subsampleID,subsampleCode,proportionIdentified,sampleCondition,remarks,sortedBy,laboratoryName
"813f08c3-4e83-4365-8f1a-7e194516302b","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-03T21:36Z","2023-10-04T12:29Z","2023-11-09","UNDE_072.20231004.0729","B00000155138","UNDE_072.20231004.0729.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"2c8c73ba-d5a0-4697-aae0-d55059cf5211","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-10-03T21:48Z","2023-10-04T12:45Z","2023-11-09","UNDE_071.20231004.0745","B00000155181","UNDE_071.20231004.0745.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"3a5519a4-65dc-4f40-9362-46929d7c9e05","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-10-03T21:51Z","2023-10-04T12:52Z","2023-11-09","UNDE_066.20231004.0752","B00000155175","UNDE_066.20231004.0752.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"1e748aa4-345c-4bc8-8397-0958e3d6ee00","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-10-03T21:58Z","2023-10-04T13:00Z","2023-11-09","UNDE_075.20231004.0800","B00000155182","UNDE_075.20231004.0800.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"0718d1c0-b4fa-4e42-92a0-8f2e62c9384e","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-10-03T22:04Z","2023-10-04T13:08Z","2023-11-09","UNDE_073.20231004.0808","B00000155185","UNDE_073.20231004.0808.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"9d188c7a-9121-4d8c-bbb1-d6c468faf770","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-10-03T22:12Z","2023-10-04T13:16Z","2023-11-09","UNDE_070.20231004.0816","B00000155141","UNDE_070.20231004.0816.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"c37a1e1d-3693-44a1-95b1-a81ca293f864","UNDE_067.mosquitoPoint.mos","D05","UNDE","UNDE_067","2023-10-03T22:22Z","2023-10-04T13:37Z","2023-11-09","UNDE_067.20231004.0837","B00000155172","UNDE_067.20231004.0837.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"d3f1769f-3353-4a7e-95b1-6253043764e1","UNDE_068.mosquitoPoint.mos","D05","UNDE","UNDE_068","2023-10-03T22:38Z","2023-10-04T13:51Z","2023-11-09","UNDE_068.20231004.0851","B00000155184","UNDE_068.20231004.0851.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"c90d4be1-6b2b-4766-9987-7a50c2c2eeac","UNDE_076.mosquitoPoint.mos","D05","UNDE","UNDE_076","2023-10-03T22:55Z","2023-10-04T14:05Z","2023-11-09","UNDE_076.20231004.0905","B00000155174","UNDE_076.20231004.0905.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"09b2ccc3-e9ad-4278-befd-bde78669dd17","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-04T12:29Z","2023-10-04T21:37Z","2023-11-09","UNDE_072.20231004.1637","B00000155210","UNDE_072.20231004.1637.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"e66c5bd8-973f-47be-8044-40cb4db4a07f","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-10-04T12:45Z","2023-10-04T21:47Z","2023-11-09","UNDE_071.20231004.1647","B00000155207","UNDE_071.20231004.1647.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"8eb6dddd-4632-4009-8cdf-ef580479b993","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-10-04T12:52Z","2023-10-04T21:52Z","2023-11-09","UNDE_066.20231004.1652","B00000155186","UNDE_066.20231004.1652.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"c0a7c41b-fd29-4807-a4a7-5e719a50990d","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-10-04T13:00Z","2023-10-04T21:56Z","2023-11-09","UNDE_075.20231004.1656","B00000155178","UNDE_075.20231004.1656.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"940e0d34-dcd8-4885-b8c6-22137ae15ed6","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-10-04T13:08Z","2023-10-04T22:02Z","2023-11-09","UNDE_073.20231004.1702","B00000155204","UNDE_073.20231004.1702.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"179e4373-c59e-422b-bac7-dddb73c26795","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-10-04T13:16Z","2023-10-04T22:07Z","2023-11-09","UNDE_070.20231004.1707","B00000155173","UNDE_070.20231004.1707.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"7e4d0864-bce3-47da-a19d-a881858270ce","UNDE_067.mosquitoPoint.mos","D05","UNDE","UNDE_067","2023-10-04T13:37Z","2023-10-04T22:17Z","2023-11-09","UNDE_067.20231004.1717","B00000155211","UNDE_067.20231004.1717.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"187fa166-dd6e-49a2-bc6a-9866d99c43c5","UNDE_076.mosquitoPoint.mos","D05","UNDE","UNDE_076","2023-10-04T14:05Z","2023-10-04T22:37Z","2023-11-09","UNDE_076.20231004.1737","B00000155176","UNDE_076.20231004.1737.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"8cfc8cd8-d076-4f19-8339-1675322d5c81","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-10-17T13:26Z","2023-10-17T21:24Z","2023-11-09","UNDE_066.20231017.1624","B00000155214","UNDE_066.20231017.1624.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"df5be3e1-b661-4e57-9632-3f7e337b581a","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-10-17T13:36Z","2023-10-17T21:30Z","2023-11-09","UNDE_075.20231017.1630","B00000155201","UNDE_075.20231017.1630.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"985c457f-8d2c-4bd9-bce1-43dcd4664953","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-10-17T13:49Z","2023-10-17T21:40Z","2023-11-09","UNDE_073.20231017.1640","B00000155215","UNDE_073.20231017.1640.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"93776b49-0d75-4cca-8d56-85883d328096","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-10-17T13:59Z","2023-10-17T21:46Z","2023-11-09","UNDE_070.20231017.1646","B00000155216","UNDE_070.20231017.1646.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"db8bd689-6327-4b63-be4b-348a5269f50c","UNDE_067.mosquitoPoint.mos","D05","UNDE","UNDE_067","2023-10-17T14:13Z","2023-10-17T22:00Z","2023-11-09","UNDE_067.20231017.1700","B00000155191","UNDE_067.20231017.1700.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"15c03301-8375-442e-bf0a-5a0383300a43","UNDE_068.mosquitoPoint.mos","D05","UNDE","UNDE_068","2023-10-17T14:28Z","2023-10-17T22:11Z","2023-11-09","UNDE_068.20231017.1711","B00000155190","UNDE_068.20231017.1711.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
