uid,namedLocation,domainID,siteID,startCollectDate,endCollectDate,archiveID,archiveIDCode,archiveVialIDList,archiveSampleCode,archivedCount,archiveMedium,archiveFacilityID,deprecatedVialID
"ae2ca344-e2f9-49ba-8b0f-c0902d51cf92","UNDE_072.mosquitoPoint.mos","D05","UNDE","2023-10-03T21:36Z","2023-10-04T12:29Z","UNDE.2023.39.URASAP.F.A",,"UNDE.2023.39.URASAP.F.A.01","W00000003242",1,"Frozen -80C",,
"f67b1644-9440-4ecb-abf5-34f1f8f8e4d7","UNDE","D05","UNDE","2023-10-03T21:36Z","2023-10-04T12:52Z","UNDE.2023.39.ANOPUN.F.A",,"UNDE.2023.39.ANOPUN.F.A.01","W00000003244",3,"Frozen -80C",,
"3b19e6d7-f99e-4404-a0c9-e072b188e057","UNDE","D05","UNDE","2023-10-03T21:36Z","2023-10-04T13:16Z","UNDE.2023.39.CULMOR.F.A",,"UNDE.2023.39.CULMOR.F.A.01","W00000003243",2,"Frozen -80C",,
"e645d9a4-0c53-43bb-98f1-f46fc4629270","UNDE","D05","UNDE","2023-10-03T21:36Z","2023-10-04T13:16Z","UNDE.2023.39.CULSPP.M.A",,"UNDE.2023.39.CULSPP.M.A.01","W00000003251",45,"Frozen -80C",,
"fb3a1dd7-83f7-47b8-a71a-28575177e2fd","UNDE","D05","UNDE","2023-10-03T21:36Z","2023-10-04T13:37Z","UNDE.2023.39.ANOWAL.F.A",,"UNDE.2023.39.ANOWAL.F.A.01","W00000003246",4,"Frozen -80C",,
"ae105e2d-df4e-4c9b-9f17-3fa407b2d26e","UNDE","D05","UNDE","2023-10-03T21:36Z","2023-10-04T13:37Z","UNDE.2023.39.CULMEL.F.A",,"UNDE.2023.39.CULMEL.F.A.01","W00000003249",16,"Frozen -80C",,
"b21a8a58-5153-4b64-b410-8e2c121b99c3","UNDE","D05","UNDE","2023-10-03T21:36Z","2023-10-04T22:02Z","UNDE.2023.39.AEDVEX.F.A",,"UNDE.2023.39.AEDVEX.F.A.01","W00000003250",27,"Frozen -80C",,
"782edcce-2d73-49a6-a484-d39804e771d6","UNDE","D05","UNDE","2023-10-03T21:36Z","2023-10-04T22:17Z","UNDE.2023.39.AEDSPP.F.A",,"UNDE.2023.39.AEDSPP.F.A.01","W00000003248",16,"Frozen -80C",,
"6d08e0fe-6c6b-4f66-9d6b-0f9332995ee0","UNDE","D05","UNDE","2023-10-03T21:36Z","2023-10-04T22:17Z","UNDE.2023.39.AEDEXC.F.A",,"UNDE.2023.39.AEDEXC.F.A.01","W00000003247",13,"Frozen -80C",,
"9d90d148-21db-4048-9559-332b15462f7a","UNDE","D05","UNDE","2023-10-03T21:36Z","2023-10-04T22:37Z","UNDE.2023.39.AEDCIN.F.A",,"UNDE.2023.39.AEDCIN.F.A.01","W00000003252",158,"Frozen -80C",,
"18a8d5b2-4494-427f-ba69-4813d99ea367","UNDE","D05","UNDE","2023-10-03T21:58Z","2023-10-04T14:05Z","UNDE.2023.39.COQPER.F.A",,"UNDE.2023.39.COQPER.F.A.01","W00000003245",3,"Frozen -80C",,
"dd9850e3-2551-4fef-a296-b5e03c6ea792","UNDE_073.mosquitoPoint.mos","D05","UNDE","2023-10-03T22:04Z","2023-10-04T13:08Z","UNDE.2023.39.AEDCAN3.F.A",,"UNDE.2023.39.AEDCAN3.F.A.01","W00000003241",1,"Frozen -80C",,
"cf3a1161-8b15-4ca1-95ae-baf60072c498","UNDE","D05","UNDE","2023-10-17T13:26Z","2023-10-17T22:11Z","UNDE.2023.41.AEDVEX.F.A",,"UNDE.2023.41.AEDVEX.F.A.01","W00000003255",7,"Frozen -80C",,
"7122e02a-c2f1-4ef3-9683-13b56c2a6d49","UNDE","D05","UNDE","2023-10-17T13:26Z","2023-10-17T22:11Z","UNDE.2023.41.AEDCIN.F.A",,"UNDE.2023.41.AEDCIN.F.A.01","W00000003254",5,"Frozen -80C",,
"fde077dd-dc25-4a8d-ad85-9c5dc68f2671","UNDE_073.mosquitoPoint.mos","D05","UNDE","2023-10-17T13:49Z","2023-10-17T21:40Z","UNDE.2023.41.CULSPP.M.A",,"UNDE.2023.41.CULSPP.M.A.01","W00000003253",1,"Frozen -80C",,
