uid,namedLocation,domainID,siteID,startCollectDate,endCollectDate,archiveID,archiveIDCode,archiveVialIDList,archiveSampleCode,archivedCount,archiveMedium,archiveFacilityID,deprecatedVialID
"9793c66b-1950-4fc4-a206-ea849bf17d07","ABBY","D16","ABBY","2023-07-20T00:03Z","2023-07-20T14:08Z","ABBY.2023.29.AEDSIE.M.A",,"ABBY.2023.29.AEDSIE.M.A.01","AM00000006194",4,"Frozen -80C",,
"d55f7d2d-6468-4a6d-860c-a246b777cb9a","ABBY","D16","ABBY","2023-07-20T00:23Z","2023-07-20T13:55Z","ABBY.2023.29.CULINC.F.A",,"ABBY.2023.29.CULINC.F.A.01","AM00000006195",3,"Frozen -80C",,
"53ece87a-7d6c-4ef3-be07-8713710b2c78","ABBY","D16","ABBY","2023-07-20T00:23Z","2023-07-20T16:11Z","ABBY.2023.29.CULTAR.F.A",,"ABBY.2023.29.CULTAR.F.A.01","AM00000006197",27,"Frozen -80C",,
"d077bf2c-d349-4719-b5f5-1b988ed0af05","ABBY","D16","ABBY","2023-07-20T02:27Z","2023-07-21T02:08Z","ABBY.2023.29.CULINO.F.A",,"ABBY.2023.29.CULINO.F.A.01","AM00000006196",2,"Frozen -80C",,
