name,pubCode,description,startDate,endDate
"mos.sampleTiming","Off season","Off season",2012-01-01T00:00:00Z,
"mos.samplingProtocolVersion","NEON.DOC.014049vA","NEON.DOC.014049vA",2012-01-01T00:00:00Z,2014-03-27T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vB","NEON.DOC.014049vB",2012-01-01T00:00:00Z,2014-03-27T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vC","NEON.DOC.014049vC",2012-01-01T00:00:00Z,2014-03-27T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vD","NEON.DOC.014049vD",2012-01-01T00:00:00Z,2014-03-27T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vE","NEON.DOC.014049vE",2014-03-01T00:00:00Z,2015-10-01T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vF","NEON.DOC.014049vF",2015-02-23T00:00:00Z,2016-01-29T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vG","NEON.DOC.014049vG",2016-01-01T00:00:00Z,2017-05-01T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vH","NEON.DOC.014049vH",2017-03-06T00:00:00Z,2018-05-01T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vJ","NEON.DOC.014049vJ",2018-02-01T00:00:00Z,2019-04-01T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vK","NEON.DOC.014049vK",2019-03-18T00:00:00Z,2020-04-01T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vL","NEON.DOC.014049vL",2020-03-01T00:00:00Z,2022-05-16T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vM","NEON.DOC.014049vM",2022-01-01T00:00:00Z,2024-05-30T00:00:00Z
"mos.samplingProtocolVersion","NEON.DOC.014049vN","NEON.DOC.014049vN",2024-01-01T00:00:00Z,
"mos.samplingProtocolVersion","Other","Other",2012-01-01T00:00:00Z,
"mos.trapType","dry ice","trap baited with dry ice",2012-01-01T00:00:00Z,
"mos.trapType","CO2 canister","trap baited with CO2 canister",2012-01-01T00:00:00Z,
"samplingImpractical","location dry","location dry",2012-01-01T00:00:00Z,
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
