uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,sortDate,sampleID,sampleCode,subsampleID,subsampleCode,proportionIdentified,sampleCondition,remarks,sortedBy,laboratoryName
"1a38f9d2-c1e4-43a9-a5ef-e773ac7a0cfd","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-06-22T00:03Z","2023-06-22T12:56Z","2023-09-20","ABBY_038.20230622.0556","B00000121516","ABBY_038.20230622.0556.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"c3c99c9d-1017-4140-8edf-059461187775","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-06-22T00:27Z","2023-06-22T13:11Z","2023-09-20","ABBY_034.20230622.0611","B00000121570","ABBY_034.20230622.0611.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"3b2c12e4-3ad6-461a-a8df-0ea57e34720d","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-06-22T00:37Z","2023-06-22T13:26Z","2023-09-20","ABBY_032.20230622.0626","B00000121534","ABBY_032.20230622.0626.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"dcdfff0d-8615-4900-9c7a-0fb0ca2261da","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","2023-06-22T00:45Z","2023-06-22T13:40Z","2023-09-20","ABBY_040.20230622.0640","D00000143696","ABBY_040.20230622.0640.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"78f41fa2-1e9d-401c-8b43-5ecb025e0e32","ABBY_039.mosquitoPoint.mos","D16","ABBY","ABBY_039","2023-06-22T01:10Z","2023-06-22T14:14Z","2023-09-20","ABBY_039.20230622.0714","B00000121568","ABBY_039.20230622.0714.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"606dbc90-15d7-45e0-82d4-3f34871b7a84","ABBY_031.mosquitoPoint.mos","D16","ABBY","ABBY_031","2023-06-22T01:41Z","2023-06-22T15:03Z","2023-09-20","ABBY_031.20230622.0803","B00000121524","ABBY_031.20230622.0803.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"5672ddba-b5c3-49ef-8bc8-570df77bc191","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","2023-06-22T01:56Z","2023-06-22T15:21Z","2023-09-20","ABBY_037.20230622.0821","B00000121517","ABBY_037.20230622.0821.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"e4d24035-5b1b-47ef-b969-ff5a98fcc088","ABBY_036.mosquitoPoint.mos","D16","ABBY","ABBY_036","2023-06-22T02:08Z","2023-06-22T15:39Z","2023-09-20","ABBY_036.20230622.0839","D00000059043","ABBY_036.20230622.0839.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"2ddc7dd5-512e-4943-9e24-475bd24b6bb5","ABBY_035.mosquitoPoint.mos","D16","ABBY","ABBY_035","2023-06-22T02:39Z","2023-06-22T16:02Z","2023-09-20","ABBY_035.20230622.0902","B00000121531","ABBY_035.20230622.0902.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"ffd455f1-8133-4d5c-b3e5-0ddbaa09a855","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-06-22T12:56Z","2023-06-23T00:03Z","2023-09-20","ABBY_038.20230622.1703","B00000121588","ABBY_038.20230622.1703.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"856c6182-aa94-49cf-a367-947a3b354c7b","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-06-22T13:11Z","2023-06-23T00:16Z","2023-09-20","ABBY_034.20230622.1716","B00000121597","ABBY_034.20230622.1716.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"3c483f61-2c16-4b64-af86-17d0f55bcfcc","ABBY_039.mosquitoPoint.mos","D16","ABBY","ABBY_039","2023-06-22T14:14Z","2023-06-23T00:54Z","2023-09-20","ABBY_039.20230622.1754","D00000143690","ABBY_039.20230622.1754.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"5e351011-248e-42b2-be7d-0a44c622faf1","ABBY_031.mosquitoPoint.mos","D16","ABBY","ABBY_031","2023-06-22T15:03Z","2023-06-23T01:18Z","2023-09-20","ABBY_031.20230622.1818","B00000121536","ABBY_031.20230622.1818.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
